SMILES,Scaffold,R-groups,NLL
C[CH2:0][CH:0]1C2c3cc4c(cc3CCN3CC[CH:2]([CH2:2]Cl)C23C=[C:1]1[C:1](=O)OC)OCO4,O1c2c(cc3c(c2)C2C([*])C([*])=CC24N(CCC4[*])CC3)OC1,C(*)C|C(=O)(*)OC|*CCl,11.839509963989258
C[CH2:0][CH:0]1CCN2CCc3cc4c(cc3C3C[C:1]([c:1]5ccc6[n+](c5)C(=O)CC(C)(c5ccc(OC)c(O)c5)N6O)=CC132)O[CH:2]([NH:2]C)O4,C12c3cc4c(cc3CCN3CCC([*])C13C=C([*])C2)OC([*])O4,*CC|c12ccc(*)c[n+]1C(=O)CC(C)(c1ccc(OC)c(O)c1)N2O|N(*)C,45.62541198730469
N#[C:1][C:1]1=CC23C[CH:2]([CH3:2])[CH:0]([CH2:0]OC(=O)CCl)N2CCc2cc4c(cc2C3C1)OCO4,[*]C1N2CCc3cc4c(cc3C3CC([*])=CC23CC1[*])OCO4,C(CCl)(OC*)=O|N#C*|*C,16.57834815979004
C[NH:0][CH:0]1Cc2cc3c(cc2C2C[C:1]([C:1]#N)=CC24C[CH:2]([CH2:2]Cl)CN14)OCO3,C1([*])Cc2c(cc3c(c2)OCO3)C2CC([*])=CC23CC([*])CN13,*NC|C(#N)*|*CCl,9.780804634094238
N#[C:0][C:0]1=CC23C[CH:1]([CH3:1])CN2C[CH:2]([CH2:2]Cl)c2cc4c(cc2C3C1)OCO4,C1Oc2cc3c(cc2O1)C1CC([*])=CC12CC([*])CN2CC3[*],*C#N|C*|*CCl,4.335064888000488
COc1cc[c:2](-[c:2]2c3c(cc4c2OCO4)C2C[C:1]([C:1]#N)=CC24C[CH:0]([CH3:0])CN4CC3)cc1,N12CC([*])CC13C=C([*])CC3c1cc3c(c([*])c1CC2)OCO3,*C|N#C*|c1c(OC)ccc(*)c1,7.6584649085998535
[CH3:0][CH:0]1CN2CCc3cc4c([c:2]([NH2:2])c3C3C[C:1]([C:1]#N)=CC32C1)OCO4,C1N2C3(CC1[*])C=C([*])CC3c1c(cc3c(c1[*])OCO3)CC2,*C|*C#N|N*,4.141269207000732
CCN[C:1](=O)[C:1]1=CC23C[CH:0]([N:0](C)C)CN2CCc2cc4c(cc2[C:2]3([CH3:2])C1)OCO4,C1C([*])CN2C13C=C([*])CC3([*])c1c(cc3c(c1)OCO3)CC2,*N(C)C|N(C(=O)*)CC|*C,12.283011436462402
C[CH2:0][CH:0]1CN2CCc3cc4c(cc3C3C2(C=[C:1]([C:1](=O)OC)[CH:2]3[c:2]2ccc(OC)c(OC)c2)C1)OCO4,C1c2c(cc3c(c2)OCO3)C2C3(CC([*])CN3C1)C=C([*])C2[*],C(*)C|O(C)C(*)=O|c1c(*)ccc(OC)c1OC,15.245627403259277
C[CH2:2][CH:2]1CN2CCc3cc4c(cc3C3C[C:0]([C:0]#N)=CC32C1)O[CH:1]([CH2:1]CN)O4,C1([*])=CC23N(CCc4cc5c(cc4C2C1)OC([*])O5)CC([*])C3,N#C*|C(CN)*|CC*,10.625202178955078
[CH3:0][CH:0]1CCC23C=[C:2]([C:2]#N)CC2c2cc4c(cc2C[CH:1]([CH3:1])N13)OCO4,c12cc3c(cc1OCO2)C1C2(CCC([*])N2C([*])C3)C=C([*])C1,*C|C*|*C#N,3.9375269412994385
CN(C)C(=O)[NH:1][C:1]1=CC23CC[CH:2]([C:2](F)(F)F)N2C[CH:0]([N:0](C)c2ccc(Cl)c(O)c2)c2cc4c(cc2C3C1)OCO4,[*]C1c2cc3c(cc2C2CC([*])=CC24N(C([*])CC4)C1)OCO3,c1(N(C)*)cc(O)c(Cl)cc1|C(N*)(N(C)C)=O|*C(F)(F)F,31.397397994995117
[CH3:0][c:0]1c2c(cc3c1OCO3)C1C[C:2]([C:2]#N)=CC13CC[CH:1]([CH2:1]C)N3CC2,c12c(cc3c(c1[*])CCN1C4(CCC1[*])C3CC([*])=C4)OCO2,*C|C(C)*|N#C*,7.651795864105225
CCC(=O)NC1c2c(cc(OC)c(OC)c2OC)OC12CC[N:2]([CH:2]1CCC34C=[C:1]([C:1](=O)OC)CC3c3c(cc5c([c:0]3[CH3:0])OCO5)CCN41)CC2,C1Cc2cc3c(c([*])c2C2CC([*])=CC24CCC([*])N14)OCO3,C*|O(C)C(=O)*|c1c(OC)c(OC)c(OC)c2c1OC1(CCN(*)CC1)C2NC(CC)=O,30.72449493408203
CCOC(=O)CN(C(=O)COC(=O)Nc1ccc([N+](=O)[O-])cc1)c1ccc([CH2:2][C:2]23C[C:1]([C:1]#N)=CC24CC[CH:0]([CH3:0])N4CCc2cc4c(cc23)OCO4)cc1,c12cc3c(cc1CCN1C([*])CCC14C=C([*])CC24[*])OCO3,C*|N#C*|C(=O)(N(c1ccc(C*)cc1)CC(=O)OCC)COC(=O)Nc1ccc([N+]([O-])=O)cc1,38.308441162109375
[CH3:0][CH:0]1CCC23C=[C:1]([C:1]#N)[CH:2]([CH3:2])C2c2cc4c(cc2CCN13)OCO4,c12c(cc3c(c1)C1C4(N(C([*])CC4)CC3)C=C([*])C1[*])OCO2,*C|*C#N|*C,5.447925567626953
N#[C:0][C:0]1=CC23CC[CH:1]([NH2:1])N2CCc2cc4c(cc2C3C1)O[CH:2]([N:2]1CCCC1)O4,C1=C([*])CC2C13N(C([*])CC3)CCc1c2cc2c(c1)OC([*])O2,*C#N|N*|C1CCCN1*,10.738003730773926
COc1c[c:2]([CH:2]2c3cc4c(cc3C3C[C:0]([C:0]#N)=CC35CCCN5[CH:1]2[CH3:1])OCO4)cc(OC)c1OC,C1([*])=CC23CCCN2C([*])C([*])c2cc4c(cc2C3C1)OCO4,*C#N|*C|c1(OC)cc(*)cc(OC)c1OC,7.659365653991699
COC(=O)[CH2:1][CH:1]1Cc2c(cc3c([c:0]2-[c:0]2ccccc2)OCO3)C2C[C:2]([C:2]#N)=CC23CCCN31,c12cc3c(c([*])c1CC([*])N1CCCC14C=C([*])CC24)OCO3,c1c(*)cccc1|COC(=O)C*|*C#N,11.535595893859863
C[NH:1][CH:1]1Cc2cc3c([c:0]([CH2:0]Cl)c2C2C[C:2]([C:2]#N)=CC24CCCN41)OCO3,O1COc2c([*])c3c(cc21)CC([*])N1CCCC12C=C([*])CC23,*CCl|*NC|*C#N,7.710562705993652
[CH3:0][C:0]12C[C:1]([C:1]#N)=CC13CCCN3[CH:2]([CH3:2])Cc1cc3c(cc12)OCO3,c12cc3c(cc1OCO2)C1([*])CC([*])=CC12CCCN2C([*])C3,C*|*C#N|*C,4.753926753997803
C[CH2:0][CH:0]1Cc2cc3c(cc2C2C4(C=[C:2]([C:2]#N)[CH:1]2[CH2:1]C#N)CCCN14)OCO3,C123N(CCC1)C([*])Cc1cc4c(cc1C2C([*])C([*])=C3)OCO4,*CC|C(C#N)*|N#C*,12.413407325744629
C[C:0](C)(O)[CH:0]1Oc2cc3c(cc2O1)C1C[C:2]([C:2]#N)=CC12CCCN2[CH:1]([CH2:1]CCl)C3,c12cc3c(cc1OC([*])O2)CC([*])N1C2(C3CC([*])=C2)CCC1,*C(C)(O)C|*CCCl|*C#N,6.547876834869385
CCc1c[c:0](-[c:0]2c3c(cc4c2[CH:2]([CH2:2]C)CN2CCCC25C=[C:1]([C:1](=O)OC)CC45)OCO3)ccc1O,C1Oc2c([*])c3c(cc2O1)C1CC([*])=CC12N(CC3[*])CCC2,c1(*)ccc(O)c(CC)c1|O=C(OC)*|C(*)C,19.643686294555664
N#[C:0][C:0]1=CC23CCCN2C[CH:1]([CH2:1]CCl)c2cc4c([c:2]([CH3:2])c2C3C1)OCO4,C1C([*])=CC23N(CCC2)CC([*])c2c(c([*])c4c(c2)OCO4)C13,*C#N|C(*)CCl|*C,9.536726951599121
CCN(C(C)=O)C(=O)[CH2:0][C:0]12C[C:1]([C:1]#N)=CC13CCCN3C[CH:2]([CH2:2]C)c1cc3c(cc12)OCO3,c12c(cc3c(c1)OCO3)C1([*])CC([*])=CC13N(CCC3)CC2[*],CCN(C(C*)=O)C(=O)C|C(*)#N|C(C)*,24.120386123657227
COC(=O)[CH2:0][CH:0]1C2c3cc4c(cc3[CH:2]([CH3:2])CN3CCCC23C=[C:1]1[C:1]#N)OCO4,C123C(C([*])C([*])=C1)c1c(cc4c(c1)OCO4)C([*])CN2CCC3,C(*)C(OC)=O|N#C*|C*,9.877144813537598
C[C:1](C)(O)[CH:1]1Oc2cc3c(cc2O1)C1C[C:2]([C:2]#N)=CC12CCCN2C[CH:0]3[C:0](Cl)(Cl)Cl,C12C3(N(CC([*])c4cc5c(cc41)OC([*])O5)CCC3)C=C([*])C2,*C(Cl)(Cl)Cl|OC(*)(C)C|*C#N,9.015108108520508
CC(=CCN(C)C)CCC=C(C)CCCC(C)=C[CH2:0][c:0]1c2c([c:1]([CH3:1])c3c1C1C[C:2]([C:2]#N)=CC14CCCN4CC3)OCO2,c12c([*])c3c(c([*])c1CCN1CCCC14C2CC([*])=C4)OCO3,C(CCCC(=CC*)C)(=CCCC(C)=CCN(C)C)C|*C|N#C*,22.19715118408203
[CH3:0][C:0]12C[C:2]([C:2]#N)=CC13CCCN3CCc1c2cc2c([c:1]1[CH3:1])OCO2,N12CCCC13C([*])(c1c(c([*])c4c(c1)OCO4)CC2)CC([*])=C3,C*|*C|C(*)#N,4.841094493865967
N#[C:0][C:0]1=CC23CCCN2CCc2c(cc4c([c:2]2[CH3:2])OCO4)C3[CH:1]1[NH2:1],C1=C([*])C([*])C2C13CCCN3CCc1c([*])c3c(cc12)OCO3,N#C*|N*|*C,7.387966632843018
C[NH:0][c:0]1c2c(cc3c1O[CH:2]([NH:2]CC1(OC)C=C(Br)CC(OC)=C1)O3)C1C[C:1]([C:1]#N)=CC13CCCN3CC2,c1([*])c2c(cc3c1CCN1CCCC14C3CC([*])=C4)OC([*])O2,N(C)*|*C#N|C1(CN*)(OC)C=C(Br)CC(OC)=C1,30.36333656311035
C[CH2:1][C:1]12C[C:0]([C:0]#N)=CC13CCCN3CCc1cc3c([c:2]([CH2:2]C)c12)OCO3,C1=C([*])CC2([*])c3c(cc4c(c3[*])OCO4)CCN3C12CCC3,N#C*|C(*)C|C(*)C,8.850427627563477
N#[C:0][C:0]1=CC23CCCN2CCc2cc4c([c:1]([CH2:1]CO)c2C3[CH:2]1[CH3:2])OCO4,[*]C1=CC23N(CCc4c(c([*])c5c(c4)OCO5)C2C1[*])CCC3,C(*)#N|*CCO|*C,11.908363342285156
CC(=CN1CC[CH:1]([c:1]2c3c(cc4c2C2C[C:2]([C:2]#N)=CC25CCCN5CC4)O[CH:0]([CH:0](C)CC(=O)O)O3)CC1)c1ccc(-c2ccccc2)cc1,[*]C1Oc2c(cc3c(c2[*])C2C4(N(CCC4)CC3)C=C([*])C2)O1,CC(*)CC(=O)O|C1(*)CCN(C=C(c2ccc(-c3ccccc3)cc2)C)CC1|N#C*,38.77943801879883
CC[CH2:2][C:2]12c3cc4c(cc3CCN3CCCC31C=[C:0]([C:0]#N)[CH:1]2[CH3:1])OCO4,C1CN2C3(C=C([*])C([*])C3([*])c3c1cc1c(c3)OCO1)CCC2,*C#N|*C|*CCC,5.862472057342529
C[NH:2][CH:2]1Oc2cc3c(cc2O1)[C:1]1([N:1]2CCCC2)C[C:0]([C:0]#N)=CC12CCCN2CC3,[*]C1=CC23N(CCc4cc5c(cc4C2([*])C1)OC([*])O5)CCC3,N#C*|N1(*)CCCC1|*NC,14.692527770996094
C[C:1](O)(CO)[CH:1]1[C:0]([C:0]#N)=CC23CCCN2CCc2cc4c(cc2C31)O[CH:2]([CH2:2]C)O4,O1c2c(cc3c(c2)C2C4(CCCN4CC3)C=C([*])C2[*])OC1[*],N#C*|OC(CO)(*)C|C(C)*,16.428524017333984
C[CH2:1][CH:1]1CN2CCc3cc4c(cc3C3CC=[C:0]([NH2:0])C32[CH:2]1[CH2:2]C)OCO4,C1=C([*])C23N(CC([*])C2[*])CCc2cc4c(cc2C3C1)OCO4,N*|*CC|*CC,7.995943546295166
N#CNCC(N)=NC[CH2:2][CH:2]1CCN2C13[C:0]([C:0]#N)=CCC3c1cc3c(cc1C[CH:1]2[CH3:1])OCO3,[*]C1=CCC2c3cc4c(cc3CC([*])N3CCC([*])C231)OCO4,*C#N|C*|NC(CNC#N)=NCC*,24.558061599731445
C=CC1C(O)C2(C)CCC3(C)C4CCC5OC(C=CC4(C)C#[C:0][c:0]4c6c(cc7c4OCO7)C4CC=[C:1]([CH3:1])C47N(CC6)CC[CH:2]7[CH3:2])C(O)(C12)C53,c1([*])c2c(cc3c1CCN1C4(C3CC=C4[*])C([*])CC1)OCO2,C(#C*)C1(C)C2CCC3C(C4(O)C(C=C1)O3)C2(C)CCC1(C)C(O)C(C=C)C41|C*|*C,68.8655776977539
[CH3:0][c:0]1c2c(cc3c1C1CC=[C:1]([NH:1]CC(=O)NNc4ccc([N+](=O)[O-])cc4[N+](=O)[O-])C14N(CC3)CC[CH:2]4[CH3:2])OCO2,c12cc3c(c([*])c1OCO2)C1CC=C([*])C12C([*])CCN2CC3,C*|N(C(=O)CN*)Nc1ccc([N+]([O-])=O)cc1[N+](=O)[O-]|*C,21.17640495300293
C[CH2:0][C:0]12CC=[C:1]([C:1]#N)C13N(CCc1cc4c(cc12)OCO4)CC[CH:2]3[c:2]1cc2c(=O)n(C)c3ccc(N)cc3c2s1,[*]C12CC=C([*])C13N(CCC3[*])CCc1cc3c(cc12)OCO3,C(*)C|N#C*|s1c2c(cc1*)C(=O)N(C)c1ccc(N)cc12,31.818769454956055
COc1cccc([C:1](C)(C(=O)O)[CH:1]2Oc3cc4c(cc3O2)C2CC=[C:2]([C:2](=O)O)C23[CH:0]([CH3:0])CCN3CC4)c1,N12CCC([*])C13C(c1cc4c(cc1CC2)OC([*])O4)CC=C3[*],C*|O=C(O)C(*)(C)c1cc(OC)ccc1|*C(O)=O,30.046140670776367
CO[C:0](=O)[C:0]1=CCC2c3cc4c(cc3CCN3C12C[CH:1]([c:1]1cc(C)cc(OC)c1)[CH:2]3[NH:2]Cc1cc(CN(C)C)ccc1OC)OCO4,O1COc2cc3c(cc21)C1C2(C([*])=CC1)CC([*])C([*])N2CC3,O=C(OC)*|Cc1cc(OC)cc(*)c1|c1c(OC)c(CN*)cc(CN(C)C)c1,35.66447067260742
COC(=O)C(NC(=O)CCl)[CH2:1][CH:1]1Cc2cc3c(cc2C2CC=[C:2]([c:2]4cc5ccccc5[nH]4)C24C[CH:0]([CH3:0])CN41)OCO3,O1c2cc3c(cc2OC1)C1C2(N(CC([*])C2)C([*])C3)C([*])=CC1,*C|O=C(OC)C(C*)NC(=O)CCl|c12c([nH]c(*)c1)cccc2,29.99862289428711
N#[C:2][C:2]1=CCC2c3cc4c([c:0]([NH2:0])c3CCN3C[CH:1]([C:1](F)(F)F)CC231)OCO4,c12c(c([*])c3c(c1)C1C4(N(CC3)CC([*])C4)C([*])=CC1)OCO2,N*|*C(F)(F)F|C(*)#N,12.877493858337402
[CH3:0][c:0]1c2c(cc3c1C1CC=[C:1]([CH2:1]O)C14C[CH:2]([CH3:2])CN4CC3)OCO2,c12cc3c(c([*])c1C1CC=C([*])C14N(CC2)CC([*])C4)OCO3,*C|C(O)*|C*,5.740767955780029
CCC[CH2:0][C:0]12CC=[C:1]([C:1](=O)O)C13C[CH:2]([CH3:2])CN3CCc1cc3c(cc12)OCO3,C1Cc2cc3c(cc2C2([*])CC=C([*])C24CC([*])CN14)OCO3,*CCCC|O=C(O)*|C*,12.523614883422852
CC[CH2:0][CH:0]1C=[C:1]([C:1](=O)OC)C23C[CH:2]([NH:2]C)CN2CCc2cc4c(cc2C13)OCO4,C1Oc2cc3c(cc2O1)CCN1C2(C3C([*])C=C2[*])CC([*])C1,CCC*|O(C(=O)*)C|N(C)*,13.806280136108398
C[C:0](C)(O)[CH:0]1Oc2cc3c(cc2O1)C1CC=[C:2]([C:2]#N)C12C[CH:1]([CH3:1])CN2CC3,[*]C1Oc2cc3c(cc2O1)CCN1C2(CC([*])C1)C([*])=CCC32,CC(C)(*)O|C*|*C#N,8.66972541809082
N#[C:1][C:1]1=CCC2c3cc4c(cc3C[CH:0]([NH2:0])N3C21CC[CH:2]3[CH3:2])OCO4,c12c(cc3c(c1)OCO3)CC([*])N1C3(C([*])=CCC23)CCC1[*],N*|*C#N|*C,4.8155646324157715
N#[C:0][C:0]1=CCC2c3cc4c(cc3[CH:2]([NH2:2])CN3C12CC[CH:1]3[c:1]1cccc(Br)c1)OCO4,[*]C1=CCC2C13N(C([*])CC3)CC([*])c1c2cc2c(c1)OCO2,*C#N|c1cc(Br)cc(*)c1|*N,14.639691352844238
[CH3:0][CH:0]1CCC23C(CC=[C:1]2[C:1]#N)c2cc4c([c:2]([CH3:2])c2CCN13)OCO4,N12C3(CCC1[*])C([*])=CCC3c1cc3c(c([*])c1CC2)OCO3,C*|*C#N|*C,4.971996307373047
C[CH2:1][CH:1]1CCC23C(CC=[C:2]2[C:2]#N)c2c(cc4c([c:0]2[NH2:0])OCO4)CCN31,c12cc3c(c([*])c1OCO2)C1C2(CCC([*])N2CC3)C([*])=CC1,*N|CC*|N#C*,7.354914665222168
[CH3:0][C:0]12CC=[C:2]([C:2]#N)C13CC[CH:1]([CH3:1])N3CCc1cc3c(cc12)OCO3,C1Cc2c(cc3c(c2)OCO3)C2([*])C3(N1C([*])CC3)C([*])=CC2,C*|C*|C(*)#N,4.928435802459717
C=COc1cc[c:1]([CH:1]2C=[C:2]([C:2]#N)C34CC[CH:0]([CH3:0])N3CCc3cc5c(cc3C42)OCO5)cc1,C1([*])N2C3(C(C([*])C=C3[*])c3c(cc4c(c3)OCO4)CC2)CC1,C*|C(=C)Oc1ccc(*)cc1|*C#N,15.119742393493652
COC(=O)[CH2:0][CH:0]1CCC23C(CC=[C:1]2[c:1]2ccc(O)c4[nH]c(=O)[nH]c42)c2cc4c(cc2CCN13)O[CH:2]([O:2]CCCc1ccccc1)O4,c12c(cc3c(c1)CCN1C([*])CCC14C([*])=CCC43)OC([*])O2,C(*)C(=O)OC|Oc1c2[nH]c(=O)[nH]c2c(*)cc1|c1(CCCO*)ccccc1,31.22495460510254
[CH3:0][CH:0]1N2CCCC23C(CC=[C:2]3[C:2]#N)c2cc3c(cc2[CH:1]1[N:1]1CC=C(c2ccccc2)CC1)OCO3,N12C([*])C([*])c3cc4c(cc3C3CC=C([*])C13CCC2)OCO4,*C|c1ccc(C2=CCN(*)CC2)cc1|*C#N,19.212417602539062
N#[C:1][C:1]1=CCC2c3cc4c([c:0]([NH2:0])c3C[CH:2]([CH3:2])N3CCCC231)OCO4,c12c([*])c3c(cc1OCO2)C1CC=C([*])C12CCCN2C([*])C3,N*|*C#N|*C,4.660928726196289
N#[C:0][C:0]1=CCC2c3c(cc4c([c:1]3[NH2:1])OCO4)C[CH:2]([NH2:2])N3CCCC123,C1=C([*])C23C(C1)c1c(cc4c(c1[*])OCO4)CC([*])N2CCC3,C(#N)*|*N|*N,6.173834800720215
CC(C)[O:0][CH:0]1Cc2cc3c(cc2[C:1]2([CH2:1]N)CC=[C:2]([C:2]#N)C24CCCN14)OCO3,c1c2c(cc3c1CC([*])N1CCCC14C3([*])CC=C4[*])OCO2,C(C)(O*)C|C(N)*|*C#N,16.1995792388916
N#[C:1][C:1]1=C[CH:0]([c:0]2ccccc2)C2c3cc4c(cc3C[CH:2]([CH2:2]N)N3CCCC231)OCO4,c12c(cc3c(c1)C1C([*])C=C([*])C14N(CCC4)C([*])C3)OCO2,c1(*)ccccc1|*C#N|NC*,12.37173080444336
CC(C)(C)NC(=O)[CH:0](N)[C:0]1=CCC2c3cc4c(cc3C[CH:2]([CH3:2])N3CCCC123)O[CH:1]([C:1](C)(C)O)O4,C1([*])=CCC2c3c(cc4c(c3)OC([*])O4)CC([*])N3CCCC132,NC(*)C(NC(C)(C)C)=O|C(*)(O)(C)C|C*,21.666263580322266
COc1cc(C=C[C:1](O)(CO)[CH:1]2CN3CCCC34C(CC=[C:2]4[C:2]#N)c3cc4c([c:0]([CH3:0])c32)OCO4)cc(OC)c1,O1COc2cc3c(c([*])c21)C([*])CN1CCCC12C([*])=CCC32,C*|C(C(O)(*)CO)=Cc1cc(OC)cc(OC)c1|*C#N,29.473569869995117
COC(=O)OCOC(=O)[CH2:0][C:0]1=CCC2c3c(cc4c([c:1]3[CH3:1])OCO4)[CH:2]([CH3:2])CN3CCCC123,C123C(CC=C1[*])c1c(cc4c(c1[*])OCO4)C([*])CN2CCC3,O=C(OCOC(OC)=O)C*|*C|C*,17.78875160217285
C=C[CH2:1][C:1]12CC=[C:2]([CH:2]=NNC(=O)Nc3ccccc3)C13CCCN3C[CH:0]([CH2:0]Cl)c1cc3c(cc12)OCO3,C1Oc2cc3c(cc2O1)C([*])CN1CCCC12C3([*])CC=C2[*],C(*)Cl|C(*)C=C|N(C(=O)Nc1ccccc1)N=C*,19.186573028564453
N#[C:2][C:2]1=C[CH:1]([c:1]2ccc(Cl)cc2Cl)C2c3cc4c(cc3[CH:0]([NH2:0])CN3CCCC231)OCO4,C1N2C3(CCC2)C(c2cc4c(cc2C1[*])OCO4)C([*])C=C3[*],N*|c1(Cl)cc(Cl)c(*)cc1|N#C*,14.728190422058105
C[CH2:2][CH:2]1CN2CCCC23[C:0]([C:0]#N)=CCC3c2cc3c(cc21)O[CH:1]([C:1](Cl)(Cl)Cl)O3,[*]C1=CCC2c3c(cc4c(c3)OC([*])O4)C([*])CN3CCCC123,N#C*|ClC(*)(Cl)Cl|*CC,15.79885482788086
N#[C:2][C:2]1=CCC2c3c([c:0]([NH2:0])c4c([c:1]3[CH3:1])OCO4)CCN3CCCC231,C12c3c(c([*])c4c(c3[*])OCO4)CCN3CCCC13C([*])=CC2,N*|*C|C(*)#N,3.830733299255371
[CH3:0][C:0]12CC=[C:2]([C:2]#N)C13CCCN3CCc1c2cc2c([c:1]1[CH3:1])OCO2,C12([*])c3c(c([*])c4c(c3)OCO4)CCN3C1(C([*])=CC2)CCC3,C*|C*|N#C*,3.65628719329834
N#[C:2][C:2]1=C[CH:0]([NH2:0])C2c3cc4c([c:1]([CH3:1])c3CCN3CCCC231)OCO4,C1([*])C2C3(CCCN3CCc3c([*])c4c(cc32)OCO4)C([*])=C1,N*|*C|N#C*,5.871250152587891
C[CH2:0][CH:0]1Oc2cc3c([c:1]([CH2:1]CC)c2O1)CCN1CCCC12C3CC=[C:2]2[C:2]#N,O1C([*])Oc2c([*])c3c(cc21)C1CC=C([*])C12N(CCC2)CC3,*CC|C(C)C*|*C#N,12.253257751464844
[CH3:0][c:0]1c2c(cc3c1C1C4(CCCN4CC3)[C:2]([NH2:2])=C[CH:1]1[CH2:1]C)OCO2,C123CCCN1CCc1cc4c(c([*])c1C2C([*])C=C3[*])OCO4,C*|CC*|N*,8.425244331359863
