SMILES,Warheads,Linker,NLL
CC1(C(=O)NCc2c(Cl)cc(C(=O)NCc3ccc(Cl)c(-c4cncc(O)c4)c3)cc2C(F)(F)F)CCCN1Cc1ccc(CNCc2ccc(Cl)c(N3CCN(Cc4ccccc4CO)CC3)c2)cc1,c1(*)cncc(O)c1|OC*,FC(F)(F)c1cc(C(=O)NCc2cc([*])c(Cl)cc2)cc(Cl)c1CNC(C1(C)CCCN1Cc1ccc(CNCc2ccc(Cl)c(N3CCN(Cc4ccccc4[*])CC3)c2)cc1)=O,46.47916793823242
Cc1nc(CN2C(=O)CCC2CNC2CCCCC2NC(=O)CCc2ccc(OCc3cc(CNC4CCC(CO)(CNCO)CC4)ccc3Cl)cc2)c(-c2cncc(O)c2)s1,c1(*)cncc(O)c1|OC*,N(CC1N(Cc2nc(C)sc2[*])C(=O)CC1)C1CCCCC1NC(=O)CCc1ccc(OCc2c(Cl)ccc(CNC3CCC(CN[*])(CO)CC3)c2)cc1,42.23092269897461
CN1C(=O)C2CN(CCN3CCc4cc(-c5cncc(O)c5)ccc4C3=O)C3(CCCN(Cc4ccc(C=NCO)nc4Br)CC3)C21,c1(*)cncc(O)c1|OC*,C(CN1C(=O)c2ccc([*])cc2CC1)N1C2(CCN(Cc3ccc(C=N[*])nc3Br)CCC2)C2C(C1)C(=O)N(C)-2,48.664852142333984
CC(NC(=O)Nc1ccc(-c2cncc(O)c2)c(Cl)c1)c1cc(CN2CCCC(O)(c3ccc(Cl)c(C(=O)NC4CCN(Cc5ccc(CO)cc5)C4)c3)C2)c(Cl)cc1Cl,c1(*)cncc(O)c1|OC*,C(c1c(Cl)cc(Cl)c(C(C)NC(Nc2cc(Cl)c([*])cc2)=O)c1)N1CCCC(O)(c2ccc(Cl)c(C(NC3CN(Cc5ccc([*])cc5)CC3)=O)c2)C1,48.640281677246094
CC(=O)NC(C(=O)N(CCN1CC1c1cc(Cl)cc(C(=O)NC(C#N)Cc2ccc(-c3cncc(O)c3)cc2)c1)C(=O)c1ccc(Cl)c(Cl)c1)C1CCN(C(=O)C2CCCN2C(=O)CCCO)CC1,c1(*)cncc(O)c1|OC*,c1c(C(NC(Cc2ccc([*])cc2)C#N)=O)cc(Cl)cc1C(N1CCN(C(=O)C(NC(=O)C)C2CCN(C(C3CCCN3C(CC[*])=O)=O)CC2)C(c2cc(Cl)c(Cl)cc2)=O)C1,51.20484161376953
COc1ccc(Cl)cc1C(=O)NC1C(=Cc2ccc(CN3CCN(Cc4ccccc4Cl)CC3)c(NC(=O)c3ccc(Cl)c(CNCO)c3)c2)CCCCC1c1c(N2CCCN(Cc3cc(Cl)ccc3Cl)CC2)cnn1Cc1cccc(-c2cncc(O)c2)c1,c1(*)cncc(O)c1|OC*,C1CCCC(c2n(Cc3cc([*])ccc3)ncc2N2CCCN(Cc3cc(Cl)ccc3Cl)CC2)C(NC(c2cc(Cl)ccc2OC)=O)C1=Cc1ccc(CN2CCN(Cc3ccccc3Cl)CC2)c(NC(=O)c2ccc(Cl)c(CN[*])c2)c1,72.12616729736328
Cc1c(-c2cncc(O)c2)c(C(=O)N2CCC3NC(c4ccc(Cl)c(C#Cc5ccc(CO)cc5)c4)C32C)nn1C,c1(*)cncc(O)c1|OC*,O=C(c1nn(C)c(C)c1[*])N1CCC2C1(C)C(c1ccc(Cl)c(C#Cc3ccc([*])cc3)c1)N2,37.44406509399414
O=C(NC(Cc1ccc(Cl)cc1)C(=O)N1CCCC1C(=O)N1CN(Cc2ccc(CNCO)cc2)CCC1Cc1ccccc1)C1CCCN1C(=O)Cc1cncc(O)c1,c1(*)cncc(O)c1|OC*,[*]CC(=O)N1CCCC1C(=O)NC(Cc1ccc(Cl)cc1)C(N1CCCC1C(=O)N1C(Cc2ccccc2)CCN(Cc2ccc(CN[*])cc2)C1)=O,36.514244079589844
Cc1cc(C(=O)N2CCN(C3CCC(c4ccc(Cl)c(Cl)c4)N(CC4=CC=C(CN5CC(c6ccc(CO)cc6)CC5CN5CC(C)(C)C5=O)C4=O)C3)CC2)nn1Cc1cncc(O)c1,c1(*)cncc(O)c1|OC*,C1N(C(c2nn(C[*])c(C)c2)=O)CCN(C2CCC(c3ccc(Cl)c(Cl)c3)N(Cc3ccc(CN4CC(c5ccc([*])cc5)CC4CN4C(=O)C(C)(C)C4)C3=O)c2)C1,39.483463287353516
CCc1nc(Cl)n2c1COC(=O)CC(C(=O)N1CCCCC1c1nc(C(C)(C)C)sc1C(NCc1ccc(Cl)c(C(=O)Nc3cnn(Cc4cncc(O)c4)c3)c1)c1nc(C(C)C)c(O)n1Cc1ccc(CO)cc1)C(=O)C(C)=N2,c1(*)cncc(O)c1|OC*,c1c(C(=O)Nc2cn(C[*])nc2)c(Cl)ccc1CNC(c1sc(C(C)(C)C)nc1C1CCCCN1C(C1CC(OCc2c(CC)nc(Cl)n2N=C(C)C1=O)=O)=O)c1nc(C(C)C)c(O)n1Cc1ccc([*])cc1,78.0459213256836
CC1(C(=O)NC2Cc3ccc(NC(=O)c4c(Cl)ccc(CNC5CC5c5cncc(O)c5)c4Cl)cc3C2=O)CCN(CCc2ccc(CO)cc2)CC1,c1(*)cncc(O)c1|OC*,C(=O)(c1c(Cl)c(CNC2C([*])C2)ccc1Cl)Nc1cc2c(cc1)CC(NC(C1(C)CCN(CCc3ccc([*])cc3)CC1)=O)C2=O,32.13010787963867
Cn1cc(C=CCO)cc1C(=O)Nc1cc(C(=O)Nc2cn(C)c(NC(=O)c3ccc(-c4cncc(O)c4)s3)n2)n(C)c1,c1(*)cncc(O)c1|OC*,c1(NC(c2ccc([*])s2)=O)n(C)cc(NC(c2cc(NC(c3n(C)cc(C=C[*])c3)=O)cn2C)=O)n1,23.790258407592773
C=CCNc1cc(N2C(=O)CC(C(=O)N3CC4CCC(=O)N4C(=O)N3c3ccc(C#CCO)cc3)N(Cc3scc(-c4cncc(O)c4)c3Cl)C2=O)c(Cl)cc1Cl,c1(*)cncc(O)c1|OC*,N1(C(C2CC(=O)N(c3cc(NCC=C)c(Cl)cc3Cl)C(=O)N2Cc2scc([*])c2Cl)=O)CC2N(C(=O)N1c1ccc(C#C[*])cc1)C(=O)CC2,38.20302963256836
Cn1cc(C(=O)NCC2CCN(C(=O)c3ccc(C=CCO)cc3)CC2)cc1C(=O)Nc1cc(C(=O)Nc2csc(Cc3cncc(O)c3)n2)n(C)c1,c1(*)cncc(O)c1|OC*,c1(C(Nc2cn(C)c(C(Nc3csc(C[*])n3)=O)c2)=O)n(C)cc(C(NCC2CCN(C(=O)c3ccc(C=C[*])cc3)CC2)=O)c1,25.430675506591797
CN(C(=O)c1ccc(-c2cncc(O)c2)s1)C1CCN(C(=O)C2CCCN2C(=O)Cc2ccc(CC3NC(=O)N(N4C(=CNc5ccc(C=CCO)cc5)C4CN4C(=O)CN(c5ccc(Cl)cc5Cl)C4CN4C(=O)C(C)(C)C4=O)C3=O)cc2)C1,c1(*)cncc(O)c1|OC*,O=C(N1CCC(N(C)C(=O)c2sc([*])cc2)C1)C1CCCN1C(=O)Cc1ccc(CC2NC(=O)N(N3C(CN4C(CN5C(=O)C(C)(C)C5=O)N(c5ccc(Cl)cc5Cl)CC4=O)C3=CNc4ccc(C=C[*])cc4)C2=O)cc1,62.12417984008789
O=C(Cc1cncc(O)c1)N1CCCC1c1nc(CO)no1,c1(*)cncc(O)c1|OC*,[*]CC(N1CCCC1c1onc([*])n1)=O,17.690462112426758
N=C1C(C2(CO)CCN(Cc3ccc(CO)cc3)C2)N(Cc2ccc(Cl)c(Cl)c2Cl)CCN1C(=O)c1nc(-c2cncc(O)c2)cs1,c1(*)cncc(O)c1|OC*,N1(C(c2scc([*])n2)=O)CCN(Cc2c(Cl)c(Cl)c(Cl)cc2)C(C2(CO)CN(Cc3ccc([*])cc3)CC2)C1=N,34.84922409057617
Cc1cccc(CC2C(O)C(Cc3ccccc3)N(Cc3ccc(CO)cc3)C(=O)N2CCc2cc(C)c(C)cc2C(=O)NC(Cc2ccc(-c3cncc(O)c3)cc2)C(=O)O)c1,c1(*)cncc(O)c1|OC*,c1(C(=O)NC(Cc2ccc([*])cc2)C(=O)O)cc(C)c(C)cc1CCN1C(=O)N(Cc2ccc([*])cc2)C(Cc2ccccc2)C(O)C1Cc1cc(C)ccc1,30.298391342163086
CC1C2CCC(C(NC(=O)CC3C(=O)NCC3CC3CCN(S(=O)(=O)c4ccc(OCc5csc(CN6CCN(C(C)CCO)CC6C)c5Cl)c(Cl)c4)C3)C2)C1C=Cc1ccc(-c2cncc(O)c2)cn1,c1(*)cncc(O)c1|OC*,C1(C)C(C=Cc2ncc([*])cc2)C2CCC1CC2NC(=O)CC1C(=O)NCC1CC1CN(S(=O)(=O)c2cc(Cl)c(OCc3csc(CN4C(C)CN(C(C)C[*])CC4)c3Cl)cc2)CC1,57.739749908447266
Cc1cc(C(=O)N2CCc3cc(Cl)ccc3N(C3CCN(Cc4ccc(CO)cc4)CC3)C2)c(C(=O)Nc2ccc(Cl)c(-c3cncc(O)c3)c2)n1C,c1(*)cncc(O)c1|OC*,c1c(C)n(C)c(C(Nc2cc([*])c(Cl)cc2)=O)c1C(=O)N1CCc2cc(Cl)ccc2N(C2CCN(Cc3ccc([*])cc3)CC2)C1,30.649396896362305
CCC1N(C(C)C(=O)N2CCN(CCc3ccc(C(=O)Nc4ccc(Cl)c(C#CCO)c4)cc3)C2)C(=O)NC12CCC(=N)N(Cc1ccc(-c3cncc(O)c3)c(Cl)c1)C2,c1(*)cncc(O)c1|OC*,C1CC2(CN(Cc3cc(Cl)c([*])cc3)C1=N)NC(=O)N(C2CC)C(C)C(=O)N1CCN(CCc2ccc(C(=O)Nc3cc(C#C[*])c(Cl)cc3)cc2)C1,46.22309494018555
CC(C)c1cc(-n2nc(C(C)(C)C)nc2C(=O)Nc2cnc(Cl)c(C=Cc3cccc(CNCO)c3)c2)ccc1-c1cncc(O)c1,c1(*)cncc(O)c1|OC*,C(=Cc1c(Cl)ncc(NC(=O)c2nc(C(C)(C)C)nn2-c2ccc([*])c(C(C)C)c2)c1)c1cccc(CN[*])c1,34.683101654052734
CC(=O)N(Cc1cc(CNC2CCN(C(C)c3ccc(Cl)c(CN4CCN(CO)CC4C)c3)C2)ccc1Cl)C1CCN(C(=O)C2CCN(c3cncc(O)c3)CC2)C1,c1(*)cncc(O)c1|OC*,c1c(CN(C(=O)C)C2CCN(C(C3CCN([*])CC3)=O)C2)c(Cl)ccc1CNC1CCN(C(C)c2ccc(Cl)c(CN3C(C)CN([*])CC3)c2)C1,37.32295227050781
CN(CCCCO)Cc1csc(NC(=O)C2CC(N3CCCC3)CN2C(=O)c2cc(-c3cncc(O)c3)cn2C)n1,c1(*)cncc(O)c1|OC*,N(C(C1N(C(=O)c2n(C)cc([*])c2)CC(N2CCCC2)C1)=O)c1scc(CN(C)CCC[*])n1,34.89019012451172
